qseqid	sseqid	pident	length	qlen	mismatch	gapopen	gaps	nident	qstart	qend	sstart	send	evalue	qcovs	qcovhsp	bitscore
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	comA|A0AA95D8I1	36.185	713	14756	439	11	16	258	14012	11898	11	715	2.50e-134	14	14	435
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	blpA|A0A1C0UQ91	35.393	712	14756	444	9	16	252	14012	11901	11	714	3.99e-133	14	14	432
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	blpA|A0A559A8Q9	35.162	711	14756	447	8	14	250	14012	11901	11	714	5.74e-133	14	14	431
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	blpA|G3EBW0	35.393	712	14756	444	9	16	252	14012	11901	11	714	8.65e-133	14	14	431
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	blpA|G3EC46	35.393	712	14756	444	9	16	252	14012	11901	11	714	1.05e-132	14	14	430
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	blpA|G3EBW1	35.393	712	14756	444	9	16	252	14012	11901	11	714	1.11e-132	14	14	430
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	blpA|A0A0T8ZWZ4	35.253	712	14756	445	9	16	251	14012	11901	11	714	1.48e-132	14	14	430
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	blpA|A0AAP5J5V7	35.021	711	14756	448	8	14	249	14012	11901	11	714	1.52e-132	14	14	430
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	blpA|G3ECC8	35.021	711	14756	448	8	14	249	14012	11901	11	714	1.93e-132	14	14	429
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	blpA|A0A0E9GYL6	35.021	711	14756	448	8	14	249	14012	11901	11	714	2.57e-132	14	14	429
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	blpA|G3EBW2	35.021	711	14756	448	8	14	249	14012	11901	11	714	2.67e-132	14	14	429
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	blpA|G3EBW4	35.253	712	14756	445	9	16	251	14012	11901	11	714	3.02e-132	14	14	429
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	comA|A0A4M3JV41	35.302	711	14756	443	10	17	251	14012	11898	11	710	3.08e-132	14	14	429
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	blpA|G3EC43	35.021	711	14756	448	8	14	249	14012	11901	11	714	3.80e-132	14	14	429
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	blpA|G3EBW3	34.740	711	14756	450	8	14	247	14012	11901	11	714	5.63e-132	14	14	428
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	blpA|G3EBW5	34.880	711	14756	449	8	14	248	14012	11901	11	714	6.81e-132	14	14	428
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	blpA|A0A4J2GMP9	34.880	711	14756	449	8	14	248	14012	11901	11	714	8.01e-132	14	14	428
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	blpA|G3EC42	34.880	711	14756	449	8	14	248	14012	11901	11	714	9.16e-132	14	14	427
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	blpA|A0A098ZPA7	35.253	712	14756	445	9	16	251	14012	11901	11	714	1.03e-131	14	14	427
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	comA|A0A2U3RYB1	36.882	526	14756	327	4	5	194	13472	11901	16	538	1.87e-111	11	11	362
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	blpA|G3EC48	36.240	516	14756	326	3	3	187	13445	11901	1	514	1.99e-109	10	10	355
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	comA|A0A916L4V1	39.110	427	14756	251	6	9	167	13166	11898	5	426	4.68e-92	9	9	302
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	blpA|G3EBW6	37.403	385	14756	238	3	3	144	13052	11901	1	383	9.02e-82	8	8	270
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	slgT|MF990789.1_prot_AXH01269.1_6_[gene=slgT]_[locus_tag=streptolancidinG_00006]_[protein=lantibiotic_transporter_protein_SlgT]_[protein_id=AXH01269.1]_[location=5487..7595]_[gbkey=CDS]	29.874	713	14756	481	11	19	213	14030	11901	2	698	3.22e-75	14	14	262
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	sleT|MF990787.1_prot_AXH01257.1_6_[gene=sleT]_[locus_tag=streptolancidinE_00006]_[protein=lantibiotic_export_protein_SleT]_[protein_id=AXH01257.1]_[location=6357..8480]_[gbkey=CDS]	26.547	727	14756	489	14	45	193	14039	11910	1	699	1.83e-68	14	14	242
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	slsB|MF990794.1_prot_AXH01308.1_4_[gene=slsB]_[locus_tag=streptolassin_00004]_[protein=lasso_peptide_dehydratase_SlsB]_[protein_id=AXH01308.1]_[location=2240..4462]_[gbkey=CDS]	31.776	535	14756	341	7	24	170	13484	11928	198	724	1.95e-58	11	11	213
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	slbT|MF990784.1_prot_AXH01243.1_6_[gene=slbT]_[locus_tag=streptolancidinB_00006]_[protein=lantibiotic_transport/processing_protein_SlbT]_[protein_id=AXH01243.1]_[location=6156..8222]_[gbkey=CDS]	27.955	626	14756	439	8	12	175	13772	11901	67	682	7.78e-53	13	13	195
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	slaT|MF990783.1_prot_AXH01237.1_11_[gene=slaT]_[locus_tag=streptolancidinA_00011]_[protein=lantibiotic_transporter_slaT]_[protein_id=AXH01237.1]_[location=9475..11598]_[gbkey=CDS]	36.304	303	14756	172	7	21	110	12785	11901	413	702	6.53e-47	12	6	177
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	slaT|MF990783.1_prot_AXH01237.1_11_[gene=slaT]_[locus_tag=streptolancidinA_00011]_[protein=lantibiotic_transporter_slaT]_[protein_id=AXH01237.1]_[location=9475..11598]_[gbkey=CDS]	23.411	299	14756	201	10	28	70	14039	13176	1	282	5.72e-12	12	6	66.2
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	slhT|MF990790.1_prot_AXH01281.1_11_[gene=slhT]_[locus_tag=streptolancidinH_00011]_[protein=lantibiotic_transport_protein_SlhT]_[protein_id=AXH01281.1]_[location=11759..13534]_[gbkey=CDS]	32.083	240	14756	154	5	9	77	12599	11901	345	582	2.96e-28	5	5	118
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	sliT|MF990791.1_prot_AXH01292.1_9_[gene=sliT]_[locus_tag=streptolancidinI_00009]_[protein=lantibiotic_transporter_SliT]_[protein_id=AXH01292.1]_[location=9431..11239]_[gbkey=CDS]	30.579	242	14756	156	5	12	74	12605	11904	351	588	4.80e-28	5	5	117
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	sljT1|MF990792.1_prot_AXH01298.1_4_[gene=sljT1]_[locus_tag=streptolancidinJ_00004]_[protein=ABC_transporter_ATP-binding_protein_SljT1]_[protein_id=AXH01298.1]_[location=4896..6503]_[gbkey=CDS]	29.596	223	14756	136	8	21	66	12602	11952	326	533	1.78e-18	4	4	87.0
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	sljT2|MF990792.1_prot_AXH01299.1_5_[gene=sljT2]_[locus_tag=streptolancidinJ_00005]_[protein=ABC_transporter_ATP-binding_protein_SljT2]_[protein_id=AXH01299.1]_[location=6518..7258]_[gbkey=CDS]	28.708	209	14756	126	5	23	60	12551	11958	26	222	8.38e-17	4	4	77.8
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	scaC|MF990778.1_prot_AXH01214.1_3_[gene=scaC]_[locus_tag=streptococcinA_00003]_[protein=lactococcin_972_family_transporter_protein_ScaC]_[protein_id=AXH01214.1]_[location=2445..3086]_[gbkey=CDS]	28.829	222	14756	136	9	22	64	12596	11964	2	212	1.21e-16	4	4	76.6
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	slsF|MF990794.1_prot_AXH01309.1_5_[gene=slsF]_[locus_tag=streptolassin_00005]_[protein=lasso_peptide_transporter/immunity_protein_SlsF]_[protein_id=AXH01309.1]_[location=4475..5191]_[gbkey=CDS]	29.614	233	14756	143	8	21	69	12608	11928	1	218	1.94e-16	5	5	76.6
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	slaF|MF990783.1_prot_AXH01232.1_6_[gene=slaF]_[locus_tag=streptolancidinA_00006]_[protein=lantibiotic_transporter/immunity_protein_SlaF]_[protein_id=AXH01232.1]_[location=1399..2136]_[gbkey=CDS]	28.972	214	14756	120	7	32	62	12542	11952	26	224	9.50e-16	4	4	74.7
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	scbC|MF990779.1_prot_AXH01217.1_3_[gene=scbC]_[locus_tag=streptococcinB_00003]_[protein=lactococcin_972_family_transporter_protein_ScbC]_[protein_id=AXH01217.1]_[location=2406..3047]_[gbkey=CDS]	27.368	190	14756	131	5	7	52	12539	11979	20	205	1.13e-11	4	4	62.0
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	scdC|MF990781.1_prot_AXH01223.1_3_[gene=scdC]_[locus_tag=streptococcinD_00003]_[protein=lactococcin_972_family_transporter_protein_ScdC]_[protein_id=AXH01223.1]_[location=2370..3002]_[gbkey=CDS]	24.519	208	14756	149	6	8	51	12596	11982	2	204	3.01e-11	4	4	60.8
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	blpA|G3EC49	25.899	139	14756	93	4	10	36	14012	13614	11	145	3.34e-11	3	3	60.5
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	sleF|MF990787.1_prot_AXH01259.1_8_[gene=sleF]_[locus_tag=streptolancidinE_00008]_[protein=lantibiotic_transporter/immunity_protein_SleF]_[protein_id=AXH01259.1]_[location=8697..9425]_[gbkey=CDS]	27.854	219	14756	119	8	39	61	12551	11937	18	211	4.75e-11	4	4	60.8
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	blpA|Q9ETN5	25.180	139	14756	94	4	10	35	14012	13614	11	145	1.43e-10	3	3	58.5
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	slhF|MF990790.1_prot_AXH01274.1_4_[gene=slhF]_[locus_tag=streptolancidinH_00004]_[protein=lantibiotic_transport/immunity_protein_SlhF]_[protein_id=AXH01274.1]_[location=3685..4371]_[gbkey=CDS]	26.316	228	14756	139	8	29	60	12599	11940	2	208	1.81e-10	4	4	58.9
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	sliF|MF990791.1_prot_AXH01287.1_4_[gene=sliF]_[locus_tag=streptolancidinI_00004]_[protein=lantibiotic_transporter/immunity_membrane_protein_sliF]_[protein_id=AXH01287.1]_[location=3624..4325]_[gbkey=CDS]	28.079	203	14756	128	8	18	57	12551	11958	17	206	2.52e-10	4	4	58.5
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	cbpD|A0A6I3UXD9	54.545	44	14756	20	0	0	24	132	1	71	114	7.22e-10	1	1	55.8
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	cbpD|A0A6I3UXD9	50.000	44	14756	22	0	0	22	132	1	91	134	1.28e-08	1	1	52.0
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	cbpD|A0A6I3UXD9	47.500	40	14756	21	0	0	19	132	13	111	150	8.44e-07	1	1	46.6
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	cbpD|A0A6I3UXD9	48.485	33	14756	17	0	0	16	99	1	62	94	0.001	1	1	37.7
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	cbpD|A0A0H2ZP12	54.545	44	14756	20	0	0	24	132	1	353	396	1.11e-09	1	1	58.5
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	cbpD|A0A0H2ZP12	50.000	44	14756	22	0	0	22	132	1	373	416	1.48e-08	1	1	54.7
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	cbpD|A0A0H2ZP12	48.718	39	14756	20	0	0	19	132	16	393	431	1.08e-06	1	1	48.9
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	cbpD|A0A0H2ZP12	48.485	33	14756	17	0	0	16	99	1	344	376	8.29e-04	1	1	39.3
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	cbpD|Q8DMZ4	54.545	44	14756	20	0	0	24	132	1	353	396	1.19e-09	1	1	58.2
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	cbpD|Q8DMZ4	50.000	44	14756	22	0	0	22	132	1	373	416	1.55e-08	1	1	54.7
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	cbpD|Q8DMZ4	48.718	39	14756	20	0	0	19	132	16	393	431	1.11e-06	1	1	48.9
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	cbpD|Q8DMZ4	48.485	33	14756	17	0	0	16	99	1	344	376	8.73e-04	1	1	39.3
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	cbpD|A0A2U3RWM9	54.545	44	14756	20	0	0	24	132	1	353	396	1.19e-09	1	1	58.2
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	cbpD|A0A2U3RWM9	50.000	44	14756	22	0	0	22	132	1	373	416	1.55e-08	1	1	54.7
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	cbpD|A0A2U3RWM9	48.718	39	14756	20	0	0	19	132	16	393	431	1.11e-06	1	1	48.9
